,Image,Object type,Museum number,Title,Denomination,Escapement,Description,Producer name,School/style,State,Authority,Ethnic name (made by),Ethnic name (assoc),Culture,Production date,Production place,Find spot,Materials,Ware,Type series,Technique,Dimensions,Inscription,Curators Comments,Bib references,Location,Exhibition history,Condition,Subjects,Assoc name,Assoc place,Assoc events,Assoc titles,Acq name (acq),Acq name (finding),Acq name (excavator),Acq name (previous),Acq date,Acq notes (acq),Acq notes (exc),Dept,BM/Big number,Reg number,Add ids,Cat no,Banknote serial number,Joined objects,id
219,https://media.britishmuseum.org/media/Repository/Documents/2014_10/5_6/7f93c7de_9669_4185_a32d_a3bb006790f4/preview_00308128_001.jpg,frieze,"No: 1880,0709.77",,,,"Drum-frieze. Part of a drum frieze in limestone ('Palnad marble') in five registers carved from left to right with the Elevation of the Head-dress of the Buddha, a Mithuna group (a couple), Prince Siddhartha taking his leave of his groom Chandaka and his horse Kanthaka, a second Mithuna group and Nagas (snakes) worshipping a sage. Inscribed.",,,,,,,,3rdC,Made in: Amaravati,Found/Acquired: Amaravati,limestone,,,carved,Height: 40 centimetres; Thickness: 10 centimetres; Width: 158.75 centimetres,"Inscription type: inscription Inscription position: on the plain strip at the bottom of the panel Inscription language: Prakrit Inscription script: Brahmi Inscription transliteration: 1. ""Balikahi sahina tihisa nitya sanigama Khatana gena sahadama deya dhamana Dhankakata mahachetiya chetiya pata be 2, bataka 3, datisa pupha gatiya patasa..cha..ha cha nebatasa tha..tha Rajagiriyanam nata vadare paditha pita sanasa danam chahitasa pathati"" [Cunningham 1973, 262, xx].
2.  ""deyadhamma karitam Dhamnakate mahachetiya chetiyapata be 2 pataka 3 umtise puphagatiyam patasamtharo cha mahachetiye chautho bhago Rajagiriyanam utaradare padithapitam savasatanam cha hitasughatha ti"" [Burgess 1882, 98, after Buhler]. Inscription translation: 1.  ""Parts of this inscription are not intelligible; but enough has been made out to show that it records the gift of two slabs and three slab pillars by certain persons of Rajagiri, the ancient capital of Bihar"" [Cunningham 1873, 262, xx].
2.  ""(these persons) made this meritorious gift at Dhanakata at the great Chaitya (viz.)--two, 2, chaitya-pattas, 3 patakas, an uttamsa, a pushapagatida and a pattasamstara, and (further) at the great Chaitya the fourth part of the northern gate--of the Rajagiriyas--has been erected, for the welfare and hapiness of all living beings. Thus!"" [Burgess 1882, 98 (after Buhler)].
3. ""Gift of two Caitya slabs (cetiyapata), three footprints (patuka), a coping-stone (umnisa), a slab with a flower vase (?puphaganiyapata?) and other objects to the Great Caitya (mahacetiya) at Dhamnakata (Dhanyakata), and erection of some object at (?) the Great Caitya (mahacetiya) at Rajagiri at the northern door (dara) by some person together with his relatives"" [Luders no 1225]. Inscription note: See Burgess 1882, 98, for a further record of the placename Dhanyakataka (ie Dharanikota) in an inscription from Amaravati.","Bibliography:
Alexander Cunningham, 'Appendix E (in James Ferguson's Tree and Serpent Worship - inscriptions taken from the sculpted reliefs at Amaravati)' London 1873, XCIX, xx.","Fergusson 1873 / Tree and Serpent Worship; Burgess 1882b / Is Bezwada on the Site of Dhanakataka? (inscription (quoting Buhler)); Luders 1912 / A List of Brahmi inscriptions from the earliest times to about 400 AD (inscription); Barrett 1954 / Sculptures from Amaravati in the British Museum; Stern & Benisti 1952 / Evolution du Stupa Figure dans les Sculptures D'Amaravati; Barrett 1990 / Style and Palaeography at Amaravati; NHK 1991 / Daiei Hakubutsukan 4: Indo, bukkyo bijutsu no kaika; Knox 1992 / Amaravati: Buddhist sculpture from the Great Stupa; Shimada and Willis 2016 / Amaravati: The Art of an Early Buddhist Monument in Context",Not on display,,,buddha; naga/nagini,Representation of: Buddha (Śākyamuni/Shijiamouni/Shaka);  Representation of: Channa/Chandaka;  Representation of: Kanthaka,Used in: Amaravati,"Associated Event: Elevation of the Head-dress;  Associated Event: Vidhurapandita jataka (Barrett 1954, 73)",,Purchased from: Mr A Fonblanque,,,,1860,"Fergusson (1873, 223, note 1) notes that this piece was acquired in 1860 by the BM by purchase from a hairdresser in Great Marlborough Street. It had been lying in the yard behind these premises when ""an officer of the BM"", having his hair cut there, was shown it by the proprietor. Recognizing it for a desireable object, he bought it from the barber via a 'grant' from the Trustees of the Museum. How these three drum friezes panels got to London is unreported and by what means they left Amaravati is similarly unclear.",,Asia,,"1880,0709.77","Miscellaneous number: B&M 1860.7-12.1; Other BM number: 1860,0712.1",,,,1880070977
220,https://media.britishmuseum.org/media/Repository/Documents/2014_9/30_16/8c9a5d06_7e91_40ac_add3_a3b6010eed1b/preview_00023046_001.jpg,frieze,"No: 1880,0709.91",,,,Fragment of a small drum frieze panel carved in limestone ('Palnad marble') with a row of alternating seated Buddhas in abhaya mudra and stupas. Inscribed.,,,,,,,,3rdC,Made in: Amaravati,Found/Acquired: Amaravati,limestone,,,carved,Height: 21.25 centimetres; Thickness: 12 centimetres; Width: 31.25 centimetres,Inscription type: inscription Inscription position: panel at bottom of the frieze Inscription language: Prakrit Inscription script: Brahmi Inscription translation: Unpublished,,"Tripe 1859 / Photographs of the Elliot Marbles and other subjects in the Central Museum, Madras; Barrett 1954 / Sculptures from Amaravati in the British Museum; Knox 1992 / Amaravati: Buddhist sculpture from the Great Stupa",Not on display,,heavily abraded,buddha; stupa,Associated with: Buddha,Used in: Amaravati,,,Transferred from: India Museum,,,,1880,"Acquired as the result of the abolition in 1879 of the India Museum (Exhibition Road, London) and the partition of its contents between the British Museum and The South Kensington Museum (Victoria and Albert Museum).",,Asia,,"1880,0709.91",Miscellaneous number: Elliot no 12; Miscellaneous number: IM 1876 no 94a,,,,1880070991
221,https://media.britishmuseum.org/media/Repository/Documents/2014_9/30_16/25ff2e8c_20cb_465a_8abd_a3b6010ee062/preview_00023038_001.jpg,frieze,"No: 1880,0709.88",,,,"A long rectangular panel carved in limestone ('Palnad marble') depicting a row of seven seated Buddhas in abhaya mudra flanked by standing male worshippers, some with arms raised..",,,,,,,,3rdC,Made in: Amaravati,Found/Acquired: Amaravati,limestone,,,carved,Height: 22.50 centimetres; Thickness: 12 centimetres; Width: 106.85 centimetres,Inscription type: inscription Inscription position: on the blank panel at the bottom front of the panel Inscription language: Prakrit Inscription script: Brahmi Inscription note: Only a few letters are visible. It is unpublished and seems not to be noted anywhere (incl. Knox 1992).,,"Tripe 1859 / Photographs of the Elliot Marbles and other subjects in the Central Museum, Madras; Barrett 1954 / Sculptures from Amaravati in the British Museum; Knox 1992 / Amaravati: Buddhist sculpture from the Great Stupa",Not on display,,,buddha; devotee/worshipper,Associated with: Buddha,Used in: Amaravati,,,Transferred from: India Museum,,,,1880,"Acquired as the result of the abolition in 1879 of the India Museum (Exhibition Road, London) and the partition of its contents between the British Museum and The South Kensington Museum (Victoria and Albert Museum).",,Asia,,"1880,0709.88",Miscellaneous number: Elliot no 93; Miscellaneous number: IM 1876 no 102,,,,1880070988
222,https://media.britishmuseum.org/media/Repository/Documents/2014_9/30_16/a4bff9a8_4c95_4283_8178_a3b6010f68fb/preview_00023250_001.jpg,frieze,"No: 1880,0709.107",,,,"Drum-frieze fragment carved in limestone ('Palnad marble') depicting in two small registers the Elevation of the Headdress and the Worship of the Stupa. The reliefs continue around the left short side of the slab eith a crude depiction of a platform below a deer (?) seated next to an empty throne under the Bodhi tree, below a running lion and seated human figure.",,,,,,,,2ndC BC (circa),Made in: Amaravati,Found/Acquired: Amaravati,limestone,,,carved,Height: 26.25 centimetres; Thickness: 10 centimetres; Width: 42.50 centimetres,,,"Tripe 1859 / Photographs of the Elliot Marbles and other subjects in the Central Museum, Madras; Fergusson 1873 / Tree and Serpent Worship; Barrett 1954 / Sculptures from Amaravati in the British Museum; Knox 1992 / Amaravati: Buddhist sculpture from the Great Stupa",Not on display,,a rectangular piece broken from the lower proper left of the slab,prayer,,Used in: Amaravati,Associated Event: First Sermon of the Buddha (?);  Associated Event: Elevation of the Head-dress;  Commemoration of: Worship of the stupa (the Death?),,Transferred from: India Museum,,,,1880,"Acquired as the result of the abolition in 1879 of the India Museum (Exhibition Road, London) and the partition of its contents between the British Museum and The South Kensington Museum (Victoria and Albert Museum).",,Asia,,"1880,0709.107",Miscellaneous number: Elliot no 99,,,,18800709107
223,https://media.britishmuseum.org/media/Repository/Documents/2014_9/30_16/fb97a44a_e64f_4518_b794_a3b6010f66dc/preview_00023248_001.jpg,frieze,"No: 1880,0709.60",,,,"Fragment of a Drum-frieze in limestone ('Palnad marble') with a railing pattern separating two narrative scenes: two standing male figures, possibly the 'Elevation of the Head-dress' and in the panel next to it the 'Great Departure'; all above a row of running animals. Inscribed.",,,,,,,,2ndC,Made in: Amaravati,Found/Acquired: Amaravati,limestone,,,carved,Height: 29.30 centimetres; Thickness: 11.50 centimetres; Width: 70 centimetres,"Inscription type: inscription Inscription position: bottom of the panel Inscription language: Prakrit Inscription script: Brahmi Inscription transliteration: ""...patiputasa gahapatino Haghasab;haya cha Savanaya Chetiya vetika cha pata deya dhama"" [Cunningham 1873, 262, xi]. Inscription translation: 1.  ""Pious gift to the Chaitya of a Vetika and a slab, of the householder____patiputra, and of Haghasabha, and of Savana"" [Cunningham 1873, 262].
2.  ""Gift of a Chaitya (chetiya), a rail (vetika) and a slab (pata) by the householder (gahapati)  Hagha (samgha), the son of ....ti, and his wife Venhu (Vishnu)"" [Luders, no.1216].","Bibliography:
Alexander Cunningham, 'Appendix E (in James Ferguson's Tree and Serpent Worship - inscriptions taken from the sculpted reliefs at Amaravati)' London 1873, XCIX, xi & p. 262.","Tripe 1859 / Photographs of the Elliot Marbles and other subjects in the Central Museum, Madras; Fergusson 1873 / Tree and Serpent Worship; Luders 1912 / A List of Brahmi inscriptions from the earliest times to about 400 AD; Barrett 1954 / Sculptures from Amaravati in the British Museum; Knox 1992 / Amaravati: Buddhist sculpture from the Great Stupa",Not on display,,,buddha; great renunciation/great departure,Associated with: Cakra,Used in: Amaravati,Associated Event: Elevation of the Head-dress,,Transferred from: India Museum,,,,1880,"Acquired as the result of the abolition in 1879 of the India Museum (Exhibition Road, London) and the partition of its contents between the British Museum and The South Kensington Museum (Victoria and Albert Museum).",,Asia,,"1880,0709.60",Miscellaneous number: Elliot no 75; Miscellaneous number: IM 1876 no 44a,,,,1880070960
224,https://media.britishmuseum.org/media/Repository/Documents/2019_1/14_15/dafedd8f_4ec9_44e9_ad6f_a9d500f90c85/preview_PS242534.jpg,frieze; drum-slab,"No: 1880,0709.112",,,,"A two-sided slab carved in limestone ('Palnad marble') and consisting of a drum-frieze on the obverse face and a fragment of drum slab on the reverse:
-Front face: A drum frieze panel in four registers carved from right to left with a mithuna couple; Prince Siddhartha in his harem at Kapilavastu before his departure; the Great Departure of Prince Siddhartha from the palace on his horse, helped and surrounded by ganas (dwarfs) and attendants; Prince Siddhartha taking leave from his horse Kanthaka and his groom Chandaka with the prince sitting on a central throne surrounded by worshippers. 
-Back face:  A drum slab cut vertically down the middle of the stupa carved on it and cut on the opposite face with the drum frieze above.  It is carved with a stupa surrounded by a railing with lotus crossbars and lions; in the entrance are parts of a multi-headed naga (snake) on a low platform; the dome is carved with garlands, and a gana (dwarf) hovers above it.",,,,,,,,3rdC,Made in: Amaravati,Found/Acquired: Amaravati,limestone,,,carved,Height: 37.50 centimetres; Thickness: 8.50 centimetres; Width: 140 centimetres,,,"Burgess 1882a / Notes on the Amaravati Stupa; Burgess 1887 / The Buddhist Stupas of Amaravati and Jaggayapeta; Barrett 1954 / Sculptures from Amaravati in the British Museum; Stern & Benisti 1952 / Evolution du Stupa Figure dans les Sculptures D'Amaravati; NHK 1991 / Daiei Hakubutsukan 4: Indo, bukkyo bijutsu no kaika; Knox 1992 / Amaravati: Buddhist sculpture from the Great Stupa; Shimada and Willis 2016 / Amaravati: The Art of an Early Buddhist Monument in Context",Not on display,,,buddha; devotee/worshipper; attendant; equestrian,Representation of: Buddha (Śākyamuni/Shijiamouni/Shaka);  Representation of: Channa/Chandaka;  Representation of: Kanthaka;  Associated with: mithuna,Used in: Amaravati,,,Donated by: Colonial Government of Madras,,,,1885,,"Given by the Government of Madras in 1885, this object comes from Burgess' excavations in the SW quadrant of the Amaravati stupa site.",Asia,,"1880,0709.112",,,,,18800709112
225,https://media.britishmuseum.org/media/Repository/Documents/2014_9/29_16/ebb1a74c_21e6_4a64_a97d_a3b5011018e8/preview_00144738_001.jpg,gable,No: 1880.215,,,,"Part of the side of a false gable panel with three scenes, each showing the Buddha and worshippers. Reading from top to bottom, the first scene shows the Buddha with both shoulders covered and his right hand across the chest, turned slightly towards a damaged figure in uttarīya and paridhāna. Beside the Buddha a worshipper, similarly dressed, holds a bag at his right hip and inserts one hand.
In the second scene the Buddha, in abhaya, turns slightly towards a naked child with triśikha hairstyle who looks up at the Buddha and joins his hands, as does a larger and youthful, naked, half-length figure with a curled band of hair framing the face and a necklace beside him. A monk, both shoulders covered, one hand lowered and covered in the robe, the other held to his chest, watches from beside the Buddha. If this is a shorthand version of the Offering of Dust, the usual bowl should have been in the Buddha's lost left hand.
The third scene shows the Buddha, frontal and moustached and in abhaya, with large uṣṇīṣa, flanked by damaged worshippers, hands joined and wearing uttarīya and paridhāna. The worshipper on the Buddha's right has on the top of his head a horizontal length of hair looped at one end.
Each scene is flanked by half-pilasters with the usual base mouldings and Corinthian half-capital supporting a half of a voluted bracket capital with sawtooth enrichment; above these is a cornice of centrally grooved brackets of cyma reversa profile separated horizontally by open coffers between a plain fascia and another below with sawtooth enrichment. On the side is a vertical register with an undulating stalk, each semicircle containing an incomplete disc enclosed in a voluted border, and an outer bead-and-reel course.",,,,,,,Kushan,2ndC-3rdC,Made in: Gandhara (Pakistan),Found/Acquired: Pakistan,schist,,,carved,Diameter: 6.90 centimetres; Height: 45 centimetres; Width: 24.50 centimetres,,"Zwalf 1996:
For bead-and-reel ornament see BM 1949.0718.44.
For the voluted motif of the border, see see Faccenna-Taddei, 1962-4: I, 61 ad Butkara 3539 and pl. CCXXXI; and BM 1973.0917.1. The scroll on BM 1972.0920.1 seems quite different.",Zwalf 1996 / A Catalogue of the Gandhara Sculpture in the British Museum,Not on display,,"1.Dark grey schist, broken and chipped.
2.Top irregularly broken; left side flat and smooth where undamaged; right side and bottom flat and pitted. 
3.Back rough with a few horizontal chisel grooves.",life of the buddha,,Topographic representation of: Rajagriha,Associated Event: Offering of Dust,,From: India Museum,,,,,According to an old British Museum inscribed stand.,,Asia,,1880.215,,,,,1880215
234,https://media.britishmuseum.org/media/Repository/Documents/2014_10/13_9/8349f7c0_ce98_4de8_b52c_a3c3009d46a6/preview_00791779_001.jpg,haniwa; storage box,"No: 2003,0319.2",,,,Haniwa figure of a wild boar. Made of earthenware. With paulownia storage box.,,,,,,,Kofun Period; Asuka Period,3rdC-7thC,Made in: Japan,,earthenware,,,handmade,Height: 33.60 centimetres; Width: 13.50 centimetres; Depth: 39.80 centimetres,,"For a similar example, see Miki Fumio, 'Haniwa' (Nihon no bijutsu, no. 19, Nov 1967), fig. 90 (p. 61).
With its fierce mouth, protruding tusks and slanting eyes, this wild boar figure was used on a tomb to perhaps re-enact a hunting scene. Figures like this were erected on the top of monumental burial mounds with other items made of earthenware including humans, hollow cylinders, houses, boats, household objects and animals.  
Known as Haniwa, the earliest types were the simple cylinders, dating to the beginning of the Kofun period (AD 258–646). These were placed close together in defined terraces. Sometimes up to two thousand were put on a single mound. Within tombs sacred treasures of swords, mirrors and jewels were buried.
Haniwa were related to the cult beliefs in the kofun period which informed the development of Japanese belief systems in association with new incoming ideas relating to the worship of Buddha and Daoism. This complex belief system sees spirits and deities as residing in every part of the natural world.",,Not on display,"Exhibited:
2015 – 2016 4 Dec – 29 May, National Museum of Singapore, ‘Treasures of the World’s Cultures’
2006 Oct 13- 2012 Jul 20 BM Japanese Galleries, 'Japan from prehistory to the present'",,mammal,,,,,"Purchased from: Christie's (14 November 2001, Lot 9)",Funded by: Brooke Sewell Bequest,,,2003,,,Asia,,"2003,0319.2",,,,,200303192
235,https://media.britishmuseum.org/media/Repository/Documents/2014_10/5_22/b764ebf6_0518_4d7d_ac39_a3bb01740d7f/preview_00385165_001.jpg,jar,"No: PDF,A.200",,,,"Yue stoneware jar with two simple lugs on each side of shoulder, and two sprig-moulded seated Buddha figures in between, applied over rouletted diaper band. The jar has a fine grey body covered on the interior and over two thirds of the exterior with thin olive green glaze.",,,,,,,Western Jin dynasty,3rdC-4thC,Made in: Shanglinhu,,stoneware,Yue Ware,,glazed,Diameter: 172 millimetres; Height: 126 millimetres,,"Published PDF date : Western Jin dynasty 3rd-early 4th century; Room 95 label text:
PDF A200
Jar with two seated Buddha figures

This jar carries a very early Chinese representation of the Buddha on either side of the jar. Buddhism was introduced to China from India and by the first century AD was rapidly gaining popularity among the Chinese people who readily adapted the teachings of Buddha to sit alongside their own indigenous religions and philosophies. Stonewares made in this region of northern Zhejiang province are characterised by a dark clay body and thin yellowish-green glaze.  Potters achieved this glaze colour by using a mixture of wood ash and clay. They then fired these wares in ‘dragon kilns’ which were built following the natural undulating curves of the hillsides.

Stoneware with incised and applied decoration and pale olive-green glaze 
Yue ware 越窯
Shanglinhu kilns, Zhejiang province 浙江省, 上林湖窯
Western Jin dynasty, AD 265–316; PDF A200
貼花坐佛罐

此罐兩側有早期中國式樣佛造像裝飾。佛像於西元一世紀由印度傳入中國，因其教義通俗易懂，迅速在中國民眾中獲得流行，可與本土宗教和哲學比肩。今浙江省北部地區生產的炻器，以深色胎、黃綠色薄釉為特色。這種釉色的形成是因為混合了草木灰和黏土。器物在沿山勢自然起伏而建造的龍窯中燒造。

炻器，劃花，貼花，淺橄欖綠色釉
越窯
浙江省上林湖窯
西晉，265-316年",Pierson 1997 / Illustrated Catalogue of Celadon Wares in the Percival David Foundation of Chinese Art; Medley 1977 / Illustrated Catalogue of  Celadon Wares in the Percival David Foundation of Chinese Art; Pierson 2002 / Percival David Foundation of Chinese Art: A Guide to the Collection; Scott 1989b / Percival David Foundation of Chinese Art: A Guide to the Collection; Medley 1974 / Percival David Foundation of Chinese Art: Illustrated Guide to the Collection; Medley 1975 / Volume 7: Percival David Foundation of Chinese Art; Pierson 2001 / Designs as Signs: Decoration and Chinese Ceramics,On display (G95/dc2/sh1),,,,,,,,On loan from: Sir Percival David Foundation of Chinese Art,,,,,,,Asia,,"PDF,A.200",,,,,PDFA200
236,https://media.britishmuseum.org/media/Repository/Documents/2014_10/4_19/e4f06a7a_0737_4865_981a_a3ba013f7a5f/preview_00254795_001.jpg,jewellery,"No: 1892,1103.13",,,,Jewellery. Four flower shaped beads made of sapphires inset into gold. Four shell shaped beads made of gold. Strung on wire.,,,,,,,,2ndC (about),"Made in: India (Bodh Gaya, Bihar)",Found/Acquired: Mahabodhi Temple (Bodh Gaya),gold; sapphire,,,inlaid,Length: 13.50 centimetres,,"Zwalf 1985
During the restoration of the Mahābodhi temple in 1880-81 a ball of clay was found below the Enlightenment Throne inside the temple. It contained coins, gold, silver, precious and semiprecious stones. This selection consists of coin impressions made into a pendant, gold flowers, some with a central sapphire, imitation conches, and patterned discs and buttons. The coin impressions are taken from an issue of Huviṣka (2nd century AD), and the silver punch-marked coins also found are older but could still have been current in Kuṣāṇa times. A stratification is reported, but the level at which the deposit lay cannot be dated since a redeposition during one of many rebuildings and restorations in antiquity is possible.",Zwalf 1985 / Buddhism: Art and Faith,On display (G33/dc58a/s3),"Exhibited:
Buddhism: Art and Faith (BM 1985)",,religion/belief,Associated with: Buddha,,,,Donated by: Maj-Gen Sir Alexander Cunningham,,,,1892,,,Asia,,"1892,1103.13",,,,,1892110313
237,https://media.britishmuseum.org/media/Repository/Documents/2014_10/1_7/50a14543_a136_49be_a7b6_a3b7007b76ad/preview_00036738_001.jpg,lintel; door,"No: 1937,0716.153",,,,"Black stone door lintel in a lunette shape, carved with a Buddhist paradise scene. The central figure, probably Amitābha, is seated under a large canopy and flanked by Bodhisattvas and arhats (luohan). At his feet are two newborn souls represented by two boys emerging from lotus flowers. On the lower register underlined by a pearl border are dancers and musicians, who play vertical and transverse flutes, a lute, a harp, ‘sheng’ pipes and cymbals. The underside of the lintel which faces down into the doorway, is decorated with lotus scrolls.",,,,,,,Sui dynasty; Tang dynasty,500-700,Made in: China,Found/Acquired: China,stone,,,carved,Width: 1.41 metres,,Lintels of this shape were placed at the entrances of vaulted corridors leading to pagodas or tomb chambers during the Sui (AD 581–618) and Tang (AD 618–907) dynasties. The scene on this lintel probably shows Amitabha (the Buddha of infinite light) in the Western Paradise. At his feet are two newly born souls resting on lotus flowers under a large canopy.,Zwalf 1985 / Buddhism: Art and Faith; Rawson 1992 / The British Museum Book of Chinese Art; Pemberton 2002 / The Buddha,On display (G33/od),,,buddha; bodhisattva; arhat,Representation of: Amitābha/阿彌陀佛/Amida (Probably),Emblem of: Pure Land,,,Purchased from: George Eumorfopoulos,,,,1937,,,Asia,,"1937,0716.153",,,,,19370716153
238,https://media.britishmuseum.org/media/Repository/Documents/2014_10/3_7/229b88c4_0faa_43a7_8f7e_a3b9008091e0/preview_00351664_001.jpg,modified potsherd,"No: 1938,0412.1",,,,Plaque (Buddha) a sherd from a jar. Made of glazed stoneware (Yue).,,,,,,,Western Jin dynasty,265-316,Made in: Yue,Found/Acquired: Juiyan,stoneware,Yue Ware,,glazed,Height: 2.90 inches,,,,Not on display,,,buddha,Representation of: Buddha,,,,Donated by: A D Brankston,,,,1938,,,Asia,,"1938,0412.1",,,,,193804121
239,https://media.britishmuseum.org/media/Repository/Documents/2014_11/3_14/c87bd4fa_229e_46d5_b782_a3d800eacd38/preview_01144045_001.jpg,mould; 模具,No: MAS.426,,,,Round mould made of stucco. It could be used for a casting a plaque with a small Buddha seated in lotus position (padmasana). The figure is surrounded by a halo in the shape of a lotus.,,,,,,,,5thC-6thC,Made in: Asia,Excavated/Findspot: Khadalik;  Excavated/Findspot: 喀達里克 (Chinese),stucco; 灰泥,,,mould-made; 模製 (Chinese),Height: 7.60 centimetres; Width: 7.40 centimetres,,,"Stein 1921a / Serindia: detailed report of archaeological explorations in Central Asia and Westernmost China; Whitfield 1985 / Textiles, Sculpture and Other Arts; Whitfield & Farrer 1990 / Caves of the Thousand Buddhas. Chinese Art from the Silk Route; Whitfield 2004b / The Silk Road. Trade, Travel, War and Faith.; Zwalf 1985 / Buddhism: Art and Faith",Not on display,,,buddha; 佛 (Chinese),Representation of: Buddha;  Representation of: 佛陀,,,,,,,,1917,"The 1917-11-28 group (with MAS numbering) refers to objects from Stein's  Second Central Asian Expedition, 1906-08. As the expedition was financed 3/ 5 by the Government of India and 2/5 by the British Museum, it was agreed  that the finds from the expedition should be allocated in these proportions. All  the finds were shipped to London for sorting, research and publication, and  subsequent distribution. The distribution of the finds between London and  India was determined by specialists, appointed by the Government of India  (through the India Office, London) and the British Museum, who drew up  lists of the objects for approval by both sides. The specialists included:  Raphael Petrucci, under supervision of Dr E Denison Ross (nominated by  India Office) and Laurence Binyon (British Museum) on paintings;  Dr F W  Thomas, Dr E Denison Ross (both nominated by India Office) and Dr L D  Barnett (British Museum) on manuscripts and written documents; Dr E  Denison Ross (nominated by India Office) and Laurence Binyon (British  Museum) on archaeological/other finds. Although the lists were drawn up and  approved in 1915, the Government of India asked the British Museum to look  after the entire collection during the First World War, and those allocated to  India were eventually shipped in 1919.",,Asia,,MAS.426,Miscellaneous number: Kha.ii.N.0014 (Stein no.),,,,MAS426
240,https://media.britishmuseum.org/media/Repository/Documents/2014_11/5_10/35743d89_3d87_4d5b_8a82_a3da00af05f4/preview_01141312_001.jpg,mould; 模具,No: MAS.990,,,,"Mould made of plaster. This mould could be used to produce several different objects, a Buddha seated in meditation pose, two zigzag locks of hair and one pair of curls. One corner is chipped so that only part of the zigzag locks remain.",,,,,,,,6thC-7thC,,Excavated/Findspot: Ming-oi;  Excavated/Findspot: 明屋 (Chinese),plaster; 石膏,,,,Height: 33 centimetres; Width: 15.50 centimetres,,,"Stein 1921a / Serindia: detailed report of archaeological explorations in Central Asia and Westernmost China; Whitfield 1985 / Textiles, Sculpture and Other Arts",Not on display,,,buddha; 佛 (Chinese),Representation of: Buddha;  Representation of: 佛陀,,,,,,,,1917,"The 1917-11-28 group (with MAS numbering) refers to objects from Stein's  Second Central Asian Expedition, 1906-08. As the expedition was financed 3/ 5 by the Government of India and 2/5 by the British Museum, it was agreed  that the finds from the expedition should be allocated in these proportions. All  the finds were shipped to London for sorting, research and publication, and  subsequent distribution. The distribution of the finds between London and  India was determined by specialists, appointed by the Government of India  (through the India Office, London) and the British Museum, who drew up  lists of the objects for approval by both sides. The specialists included:  Raphael Petrucci, under supervision of Dr E Denison Ross (nominated by  India Office) and Laurence Binyon (British Museum) on paintings;  Dr F W  Thomas, Dr E Denison Ross (both nominated by India Office) and Dr L D  Barnett (British Museum) on manuscripts and written documents; Dr E  Denison Ross (nominated by India Office) and Laurence Binyon (British  Museum) on archaeological/other finds. Although the lists were drawn up and  approved in 1915, the Government of India asked the British Museum to look  after the entire collection during the First World War, and those allocated to  India were eventually shipped in 1919.",,Asia,,MAS.990,Miscellaneous number: Mi.iv.001 (Stein no.),,,,MAS990
