,Unnamed: 0,Unnamed: 0.1,Image,Object type,Museum number,Title,Denomination,Escapement,Description,Producer name,School/style,State,Authority,Ethnic name (made by),Ethnic name (assoc),Culture,Production date,Production place,Find spot,Materials,Ware,Type series,Technique,Dimensions,Inscription,Curators Comments,Bib references,Location,Exhibition history,Condition,Subjects,Assoc name,Assoc place,Assoc events,Assoc titles,Acq name (acq),Acq name (finding),Acq name (excavator),Acq name (previous),Acq date,Acq notes (acq),Acq notes (exc),Dept,BM/Big number,Reg number,Add ids,Cat no,Banknote serial number,Joined objects,id
99,99,99,https://media.britishmuseum.org/media/Repository/Documents/2014_9/29_17/e5bd76f8_b5ed_48d3_82d7_a3b5011afced/00148022_001.JPG,panel,"No: 1929,1104.4",,,,"Panel with two scenes, each showing the Buddha and worshippers. Both haloed Buddhas sit beneath leafy branches, the abhaya hand tilted back, the other securing the robe while gathered drapery from it falls and spreads onto the strewn seat. The garment edges from the right wrist are in high relief and the drapery folds are rendered by ridges, terraces and grooves. One body is more slender than the other and one head is damaged. The faces of both seats have diagonally bisected panels with indented triangles; one also has a fire altar and kneeling figures beside it. Flanking the Buddha are almost identical figures, hands joined and wearing uttarīya, paridhāna, the usual ornaments and wavy or curled hair under a chignon. All the faces are long and the eyes rounded and protruding. The central pilaster has an outlined oblong panel curved top and bottom on the shaft, a Corinthian capital beneath a double-bracket capital with sawtooth enrichment and the usual base mouldings. Above the figures at each side is the arm of another bracket capital, presumably from pilasters on the adjoining pieces. A sawtooth cornice runs at the top and a plain framing fillet defines the bottom of the panel.",,,,,,,Kushan,2ndC-3rdC,Made in: Gandhara (Pakistan),Found/Acquired: Jamalgarhi,schist,,,carved,Diameter: 6.20 centimetres; Height: 15.30 centimetres; Width: 35.50 centimetres,,,Zwalf 1996 / A Catalogue of the Gandhara Sculpture in the British Museum,Not on display,,"1.Grey schist, broken, exfoliated and with traces of soil incrustation. 
2.Top flat, mainly smooth, with incised 'J' and, right and left, cramp mortise each side; both sides straight and rough; bottom flat. 
3.Back with vertical and slanting chisel grooves.",prayer; buddha; fire altar,Associated with: Buddha,,,,"Bequeathed by: Pollock Dighton; Bequeathed through: Stanley Owen Buckmaster, 1st Viscount Buckmaster",,,,1929,"Collected by Major-General Sir Frederick Richard Pollock (Bengal Army, 1844-79), father of Mr Dighton Pollock.",,Asia,,"1929,1104.4",,,,,192911044
100,100,100,https://media.britishmuseum.org/media/Repository/Documents/2014_9/29_16/b7910f61_fca6_4b71_87b7_a3b501101d5e/preview_00144740_001.jpg,panel,No: 1880.214,,,,"Part of a panel with a caitya arch frieze of the Buddha and amorini in four compartments. The damaged Buddha in dhyāna is flanked on both sides by standing amorini, hands joined and striding, almost in profile, towards him; the end compartment on the right is almost lost. To the left is a single compartment with a similar amorino, more in three-quarter view and presumably worshipping a lost Buddha to his right. The plain arches terminate against the frames of the divider columns with small pendent globules where undamaged; the columns are all damaged. A narrow ovolo with vertically grooved lotus petals frames the panel above and remains of a fillet define it below. All the cutting is deep and creates shadow.",,,,,,,Kushan,2ndC-3rdC,Made in: Gandhara (Pakistan),Found/Acquired: Pakistan,schist,,,carved; relief,Diameter: 5.70 centimetres; Height: 5.70 centimetres; Width: 26 centimetres,,"Zwalf 1996:
For similar pieces with the same history see BM 1880.203, 211.",Zwalf 1996 / A Catalogue of the Gandhara Sculpture in the British Museum,Not on display,,"1.Grey schist, broken, cracked and exfoliated. 
2.Top and bottom flat, partly smooth; top with cramp mortise to each side and another, from front to back, on bottom. 
3.Right side flat and pitted, left side irregularly broken. 
4.Front badly damaged. 
5.Back flat but uneven.",buddha; arch/gateway; classical deity,Associated with: Buddha;  Associated with: Eros/Cupid,,,,From: India Museum,,,,,"From the Archaeological Survey of India. Identified by Sir Augustus Wollaston Franks in his letter of 21 February 1881 to Sir Alexander Cunningham as part of the material transferred from the India Museum. Since this piece appears on an early photograph (Burgess) with BM 1880.203, 211, 202, 213 and 200 and is boxed and numbered (E.9) with them according to the system of Cunningham's Appendix B (1875: 197-200), although not listed there, it and they may also be taken to have belonged earlier to the Archaeological Survey of India.",,Asia,,1880.214,,,,,1880214
101,101,101,https://media.britishmuseum.org/media/Repository/Documents/2014_9/29_17/99754495_bc4b_4a42_b60b_a3b5011b33ca/00148013_001.JPG,panel,"No: 1917,1009.13",,,,"Part of a stupa drum panel with two incomplete scenes, one showing the Buddha and worshippers. On the right the haloed Buddha is seated in abhaya, and below his left hand gathered drapery falls onto the face of the seat. The robe has ridged drapery folds and his hair undulates into the low uṣṇīṣa. Branches spread beside his head, and the draped seat has turned legs. Two flanking figures with rounded and protruding eyes join hands with fingers curled, both wearing uttarīya and paridhāna and their long hair with chignon forward.
On the left a standing figure turns to his right with hands joined or carrying an offering. He wears an uttarīya, a paridhāna, earrings and a broad collar and has a small looped chignon bound tightly at the base.
The dividing pilaster has a recessed oblong panel with a curved top and bottom on the shaft, a Corinthian capital in distinct upper and lower parts under a long, voluted, double-bracket capital with sawtooth enrichment, and the usual base mouldings.
A sawtooth cornice runs above and a plain framing fillet below.",,,,,,,Kushan,2ndC-3rdC,Made in: Gandhara (Pakistan),Found/Acquired: Pakistan,schist,,,carved,Diameter: 7.50 centimetres; Height: 10.50 centimetres; Width: 16.90 centimetres,,"Zwalf 1996:
Perhaps the right-hand scene represents an Entreaty to Preach the Doctrine, with Brahmā and an attendant deity of his kind, as is usual, on the Buddha's right.",Zwalf 1996 / A Catalogue of the Gandhara Sculpture in the British Museum,Not on display,,"1.Light grey schist, broken and chipped.
2.Top flat and smooth; right side flat and pitted; left side irregularly broken, bottom flat and smooth. 
3.Back with vertical chisel grooves. 
4.Curved in section.",devotee/worshipper; buddha,Associated with: Buddha,,,,,Funded by: Art Fund (as NACF),,,1917,Formerly in the Hope Collection. The Museum Register states that this piece was part of lot 166a (a later undescribed inclusion) at Christie's sale of Hope heirlooms on 23-4 July 1917.,,Asia,,"1917,1009.13",,,,,1917100913
102,102,102,https://media.britishmuseum.org/media/Repository/Documents/2014_9/29_16/d0cde4e7_2fcd_476f_bce8_a3b501168eb9/00146711_001.JPG,panel,"No: 1899,0715.10",The Entreaty to Preach the Doctrine. (Object),,,"Stupa drum panel showing the Entreaty to Preach the Doctrine. The Buddha is seated in abhaya, the robe secured in the left hand above the lap with the gathered drapery spreading onto the seat. The folds are mainly in dense curved grooves and ridges. His face is globular with open eyes, a moustache, a sharp chin and an incised ūrṇā. The high uṣṇīṣa is tied by a band above hair in crescentic grooves from the centre of the forehead. The tree above has luxuriantly leafy branches, and the strewn rectangular seat a moulded plinth.
On the Buddha's right a headless figure with hands joined, a paridhāna, and an uttarīya in the narrow mode with an end hanging on the left, shows traces of a halo behind the neck. A similarly dressed figure opposite with knotted girdle, but also wearing double bracelets and a collar, may also be haloed.
The framed column has a fillet and astragal under a Corinthian capital with distinct circular lower element, volutes, a ribbed central acanthus in between, an abacus and, below, a plinth, a torus and fillets.",,,,,,,Kushan,2ndC-3rdC,Made in: Gandhara (Pakistan),Found/Acquired: Takht-i-Bahi,schist,,,carved,Diameter: 5.30 centimetres; Height: 25.10 centimetres; Width: 38.70 centimetres,,"Zwalf 1996:
Despite damage, the flanking figures with vestiges of haloes suggest Brahmā and Indra.",Zwalf 1996 / A Catalogue of the Gandhara Sculpture in the British Museum,Not on display,,"1.Grey schist, broken and exfoliated.
2.Top partly flat, pitted and with remains of rectangular tenons; left side flat and sloping inwards to back; right side straight, thin and very pitted; bottom flat, partly smooth and with remains of rectangular tenons. 
3.Back with short chisel marks. 
4.Curved in section.",buddha; attendant; buddhist deity,Representation of: Buddha;  Associated with: Indra/Sakka/Taishakuten;  Associated with: Brahmā/Bonten,,Associated Event: Entreaty to Preach the Doctrine,,,,,,1899,Purchased from General C. S. MacLean.,,Asia,,"1899,0715.10",,,,,1899071510
103,103,103,https://media.britishmuseum.org/media/Repository/Documents/2014_9/29_16/284b4bf0_eb94_46d1_a67a_a3b5011624f2/00146582_001.jpg,panel,"No: 1899,0609.25",,,,"Part of a stupa drum panel showing the Buddha and worshippers. With his damaged left hand the seated Buddha secures his robe, and gathered drapery falls from his wrist and spreads out below; the robe is in mainly terraced drapery folds. The rectangular strewn seat has, on two surviving faces, a horizontal foliate branch motif above a plinth. To the Buddha's left a standing figure with hands once joined wears a paridhāna and an uttarīya in the narrow mode, a crested turban with a columnar ornament, earrings and a collar.",,,,,,,Kushan,2ndC-3rdC,Made in: Gandhara (Pakistan),Found/Acquired: Kafir-Kot,schist,,,carved,Diameter: 6.30 centimetres; Height: 30 centimetres; Width: 15.30 centimetres,"Inscription type: inscription Inscription position: under the figure of the Buddha Inscription script: Kharoshthi Inscription translation: VE 1 1 1 SA (possibly) Inscription note: It may include a notation for the numeral 3. Before and after the three vertical strokes which may render the kharosthi notation for 3 (1 1 1), there appears to be one character. If the first character from the right is read as 'sa' and the last as 've' (for something like Veśakhasa, the name of a month), the inscription might be thought to contain a date in a year 3. Other readings for the first and last characters do, however, seem possible. The start of a dedication opening with a date would be unusual in the middle of a frame and the downward slope of the inscription does not suggest its continuation; and no further character or part of one is visible before the break on the left.",,Zwalf 1996 / A Catalogue of the Gandhara Sculpture in the British Museum,Not on display,,"1.Grey schist, broken, exfoliated and rejoined with 1899.0609.43.
2.Top largely made up in plaster and rectangular tenon on right, left side irregularly broken, surviving right side flat and rough. 
3.Bottom flat with painted 'K-25'; back with some vertical and diagonal chisel grooves and painted 'K-43' behind top right-hand fragment. 
4.Two pieces rejoined with large plaster infill on right. 
5.Curved in section.",deity; buddha,Representation of: Buddha,,,,From: Sir Harold Arthur Deane,,,,1899,,,Asia,,"1899,0609.25",,,,,1899060925
104,104,104,https://media.britishmuseum.org/media/Repository/Documents/2014_9/29_17/967cb581_e2a2_4e03_84b7_a3b5011e6ce3/00148650_001.JPG,panel,"No: 1940,0713.2",The Presentation of the Bowls. (Object),,,"Stupa drum panel showing the Presentation of the Bowls. The seated Buddha holds a bowl in his left hand while his right rests upon it, taking food. He wears his over-robe to cover both shoulders with a round neckline in relief and its edges fall from the forearms over both knees. His face is long and oval and the hair is drawn back into the uṣṇīṣa. Above are the remains of branches on either side of the head; the seat, with a simple plinth, shows a triangular motif with indentations, perhaps intended for stylised opening lotuses alternately inverted on the face. On the Buddha's right a damaged turbaned and crested figure in uttarīya and paridhāna carries a bowl, and vestiges of another figure appear beside him; on his left stand two similar figures with collar or necklace and a third joins his hands. On both sides, behind and above the mahārājas, are vestiges of standing figures. All the figures have full, oval faces with protruding rounded eyes.
The framed Persepolitan column has damaged addorsed bulls above, and the bottom of the scene a damaged plain framing fillet. The panel is complete as to width and the symmetry of the composition must therefore have been completed on an adjacent piece.",,,,,,,Kushan,2ndC-3rdC,Made in: Gandhara (Pakistan),Found/Acquired: Pakistan,schist,,,carved,Diameter: 9.20 centimetres; Height: 14.90 centimetres; Width: 35.60 centimetres,,"Zwalf 1996:
Suggestive similarities are presented by BM 1940.0713.3 from the same donor and perhaps the same site or area (probably in Swat). Also similar is Berlin MIK I 248, with no recorded findspot.",Zwalf 1996 / A Catalogue of the Gandhara Sculpture in the British Museum,Not on display,,"1.Grey schist, broken, cracked and with much soil incrustation. 
2.Top and bottom flat and with modern holes drilled for wooden pegs. 
3.Both sides flat and sloping inwards to back. 
4.Back very uneven and perhaps reduced in modern times. 
5.Curved in section.",buddha; devotee/worshipper; vessel; miracle,Associated with: Buddha,,Associated Event: Presentation of the Bowls,,Donated by: Mrs E Malcolm,,,,1940,,,Asia,,"1940,0713.2",,,,,194007132
105,105,105,https://media.britishmuseum.org/media/Repository/Documents/2014_9/29_17/94bfa79d_68ad_48cf_a519_a3b501202efc/00148976_001.JPG,panel,"No: 1960,0411.5",,,,"Part of a panel showing the Buddha and worshippers. Facing a haloed figure, the haloed Buddha stands in three-quarter view, his body in a pronounced curve, his right leg flexed at the knee and exposing what looks like a girt undergarment, his left hand securing the robe, his right across the chest, perhaps with palm inwards. The neckline is raised and the drapery folds run in regular grooves and low terraces. The haloed figure facing raises his damaged right arm as if to throw flowers from a long bag, held in the left hand, perhaps part of the uttarīya. The paridhāna forms a thick loop between the legs. Bands of the turban meet below the damaged central crest and have a worn undulating motif with stones between them; the collar has round stones while the necklace, in two strands, is plain; the earring is indistinct. The haloed figure has a globular head, open eyes and a moustache, and his legs seem to emphasise a bodily curve answering the Buddha's. Both haloes have a plain groove just within the rim. The badly damaged, standing figure on the right wears the uttarīya in a low loop across the legs and the paridhāna falls in an undulating edge over his right leg; the arms with bracelets meet to hold the remains of a floral garland.
A plain framing fillet defines the panel at the bottom.",,,,,,,Kushan,2ndC-3rdC,Made in: Gandhara (Pakistan),Found/Acquired: Pakistan,schist,,,carved,Diameter: 7.60 centimetres; Height: 45.40 centimetres; Width: 43.80 centimetres,,,Zwalf 1996 / A Catalogue of the Gandhara Sculpture in the British Museum,Not on display,,"1.Grey schist, broken, exfoliated and rejoined.
2.Small part of top and most of bottom flat; sides irregularly broken; the panel very thin and of uneven depth. 
3.Large crack from top downwards joining repaired horizontal break across two of standing
figures.",buddha; life of the buddha,Associated with: Buddha,,,,Purchased from: Spink & Son Ltd,Funded by: Brooke Sewell Permanent Fund,,,1960,"This piece was lot 111 at Messrs Sotheby's London sale, 22 February 1960.",,Asia,,"1960,0411.5",,,,,196004115
106,106,106,https://media.britishmuseum.org/media/Repository/Documents/2014_9/29_17/4e95f56e_0170_401e_b88f_a3b5011b7335/00148133_001.JPG,panel,"No: 1937,0715.1",,,,"Panel with parts of two scenes, the second from the right showing the Exchange of Clothes.
From right to left a figure wearing a sleeved and knee-length tunic, collar and earrings, gestures with his right hand open by his side. He is perhaps part of a Great Departure, but the common gesture with the right hand is usually made by a figure either armoured or in uttarīya and paridhāna (see BM 1880.359).
In the next panel presumably the Bodhisattva, in paridhāna and collar, stands almost frontally, holding the uttarīya looped above them in both hands. Beside him Vajrapāṇi, in tunic, legs crossed below the knees, stands in three-quarter view with the faceted vajra vertical below his left shoulder; a figure beside him in turban and uttarīya holds a flower, while two heads, both with earrings and one with a chignon, observe from behind.
Separating the panels is a framed plump and naked amorino with bracelet, chignon and hands joined, standing on a pot with broad everted rim and turned as though watching the second scene.
Framing the panels horizontally are a sawtooth cornice, and the same mouldings with a dentil and drop motif below.",,,,,,,Kushan,2ndC-3rdC,Made in: Gandhara (Pakistan),Found/Acquired: Pakistan,schist,,,carved,Diameter: 5.10 centimetres; Height: 17.30 centimetres; Width: 24.20 centimetres,Inscription type: inscription Inscription language: Gandhari Inscription script: Kharoshthi Inscription quoted: ha [?] Inscription note: Location mark on top.,"Zwalf 1996:
Having dismissed Chandaka and Kaṇṭhaka and cut off his hair, the Bodhisattva, wishing to adopt more suitable garments, exchanged his Benares silk for the rougher clothes of a hunter.While the Tonsure may occur before the Farewell from the horse (Buddhacarita, Saṃghabhedavastu, Mahāvastu), the adoption of rough clothing, although in some accounts previous to the departure of the groom and horse (Buddhacarita, Jātaka Introduction), is the Bodhisattva's last act in this sequence of events. The Tonsure appears to occur only once in Gandhāra, on a limestone relief from Qunduz where the order of events is: the Farewell, the Tonsure and the Exchange of Clothing (Fischer, 1958: 238, fig. 4). For the Exchange see Lalitavistara XV. l.255-6 (Foucaux, 1884: 197); Mahāvastu II. 189, 195; Bareau, 1962b: 22. In Saṃghabhedavastu 1.92-3 the exchange is with Indra dressed as a hunter (compare Rockhill, 1907: 26) and the Bodhisattva by his power makes the rougher clothes fit. In the Jātaka Introduction his friend from a former birth, the Mahābrahmā Ghaṭīkara, gave him the eight necessaries of a monk (Fausboll, 1877-97: I, 65, translated Rhys Davids, 1925: 178). See also Foucher, 19088: 9.",Zwalf 1996 / A Catalogue of the Gandhara Sculpture in the British Museum,Not on display,,"1.Grey schist, broken and chipped.
2.Top flat and smooth with rectangular tenon at back and cramp mortise to back just beside it with mason's mark; left side partly flat and smooth; right side irregularly broken. 
3.Bottom partly flat and smooth with cramp mortise open at front and continued on framing fillet to left. 
4.Back with horizontal and diagonal chisel grooves.",buddha; vajra; life of the buddha,Associated with: Buddha;  Representation of: Buddha (Śākyamuni/Shijiamouni/Shaka);  Representation of: Vajrapāṇi,,,,Donated by: Mme Wilhelmine Ormonde Gloster,,,,1937,,,Asia,,"1937,0715.1",,,,,193707151
107,107,107,https://media.britishmuseum.org/media/Repository/Documents/2014_9/29_17/569ce04e_6914_41c3_bfc2_a3b50120110a/00149011_001.JPG,panel,"No: 1967,0221.5",,,,"Stupa drum panel showing the Buddha and worshippers. The haloed and seated Buddha is in abhaya, the left hand securing the robe in the lap and with a triangle of drapery spreading below. No feet are indicated or exposed. His right shoulder is uncovered and the drapery folds form a regular and ribbed pattern. The head is oval, the face flat with a high forehead, and the hair runs from the hairline into a large low uṣṇīṣa; the top of the head is rather broad and the neck long above a flat chest. Beside the halo are leafy branches and the strewn seat has a countersunk sawtooth motif. On the Buddha's left two standing turbaned figures with a central crest, and a third figure above, wear uttarīya, folds rendered as on the Buddha's robe, and perhaps only earrings as ornaments; two join their hands. The three balancing figures opposite have, where undamaged, long hair and chignons as well as earrings. The features of all the figures are unusually crude, the smooth faces suggest recutting and the two upper heads crane long necks uncharacteristically.
At one side a half-pilaster with a damaged Corinthian capital and the usual base mouldings supported a damaged bracket capital; on the right a voluted bracket arm, with sawtooth enrichment, projects from above the presumed pilaster on the adjoining slab.
Framing the top of the panel is a sawtooth cornice and a plain fillet defines the bottom.",,,,,,,Kushan,2ndC-3rdC,Made in: Gandhara (Pakistan),Found/Acquired: Pakistan,schist,,,carved,Diameter: 5.10 centimetres; Height: 15.20 centimetres; Width: 20.50 centimetres,,"Zwalf 1996:
The composition is that of the Entreaty to Preach or of a scene of worship. This piece is not altogether convincing; the treatment of the robe in the lap and the absence of collar or necklace on the turbaned figures in particular are unusual.",Zwalf 1996 / A Catalogue of the Gandhara Sculpture in the British Museum,Not on display,,"1.Grey schist, broken and worn.
2.Top, bottom and sides mainly flat and smooth; top with central rectangular tenon and back uneven with two short horizontal chisel grooves. 
3.Curved in section.",bodhisattva; buddha,Representation of: Buddha,,,,Purchased from: Col D R Martin,Funded by: Brooke Sewell Permanent Fund,,,1967,,,Asia,,"1967,0221.5",,,,,196702215
108,108,108,https://media.britishmuseum.org/media/Repository/Documents/2014_9/29_16/4bba705c_2666_4030_bfc2_a3b501125b87/preview_00145364_001.jpg,panel,"No: 1885,0713.4",The Presentation of the Bowls. (Object),,,"Stupa drum panel with two scenes, one complete and showing the Presentation of the Bowls. From right to left the Buddha in dhyāna, hands covered in his robe and with the commonly associated spread drapery between the knees, sits on a plain and strewn rectangular seat with branches flanking his head. To his right stand two worshippers with hands joined, the nearer to the Buddha turbaned, the next with chignon, both in uttarīya and paridhāna. The complete scene has a similar haloed and seated Buddha but in abhaya with the robes as on BM 1880.196. Beside the halo are two leafy branches. On either side two mahādrājas, turbaned, wearing  uttarīya and paridhāna and one only with a bracelet, each carry a large bowl in both hands. Between each pair is a half-length watching deity with a chignon headdress but one looks away from the Buddha as if at the second advancing mahārāja.
Both Buddhas have broad flat chests; all the figures have sharp features with protruding rounded eyes and garments with narrow grooves defining drapery folds.
Flanking the scenes are pilasters on the usual base with a squat Corinthian capital beneath a double-bracket capital with sawtooth enrichment, that on the left incomplete. The cornice has sawtooth enrichment and the very prominent base mouldings above the plinth are a torus and cavetto.",,,,,,,Kushan,2ndC-3rdC,Made in: Gandhara (Pakistan),Found/Acquired: Pakistan,schist,,,carved,Diameter: 8.40 centimetres; Height: 16.20 centimetres; Width: 41.90 centimetres,,"Zwalf 1996:
The subject of the first scene, presumably completed on the adjacent slab, is perhaps no more than one of worship; the offering of Trapuṣa and Bhallika would be appropriate but cannot be paralleled in this iconography.",Zwalf 1996 / A Catalogue of the Gandhara Sculpture in the British Museum,Not on display,,"1.Grey schist, chipped.
2.Top flat and chipped with cramp mortise to each side (one open to back) and, beside each, a mason's mark.
3.Both sides flat and rough, thin above base mouldings, damaged and sloping inwards to back. 4.Bottom flat and smooth. 
5.Back with vertical chisel grooves. 
6.Curved in section.",buddha; devotee/worshipper,Associated with: Buddha,,Associated Event: Presentation of the Bowls,,From: Sir Augustus Wollaston Franks,,,,1885,,,Asia,,"1885,0713.4",,,,,188507134
109,109,109,https://media.britishmuseum.org/media/Repository/Documents/2014_9/29_16/1730f432_7628_4909_a4a4_a3b5011220ca/00145381_001.jpg,panel,"No: 1886,0618.3",Devadatta slaying the elephant. (Object); Sundarananda dragging the elephant away. (Object),,,"Stupa drum panel showing Devadatta's slaying of the elephant and Sundarananda's dragging it away in two scenes, read from right to left, under a vedikd register. An elephant emerges from an oblique gateway and Devadatta, bare above the waist, grasps its raised trunk with one hand and raises the other to strike. In the next scene his half-brother, Sundarananda or Nanda, similarly dressed and seen from the back, pulls the elephant by the tail; it is here much smaller, shown apparently on its legs and the trunk continued onto the framing fillet below. In the background are a crenellated enclosure with triangular and arrow-shaped loopholes and a probably rectangular tower.
The scenes are bordered by framed columns with very summary Corinthian capitals and the usual base mouldings. Above them an ovolo is enriched with a twisted garland motif of undulating, plain, beaded, heart-shape and bead-and-reel bands. The vedikā register above has two rows of crossbars and chamfered uprights with incomplete, crudely cut roundels top and bottom under an acanthus cornice.",,,,,,,Kushan,2ndC-3rdC,Made in: Gandhara (Pakistan),Found/Acquired: Pakistan,schist,,,carved,Diameter: 6 centimetres; Height: 19.60 centimetres; Width: 36.20 centimetres,,"Zwalf 1996:
Devadatta's killing of an elephant and its removal by Sundarananda and the Bodhisattva occurred immediately before a trial of skills decreed by Śuddhodana to demonstrate the Bodhisattva's suitability after his marriage had been proposed. For its arrival see 1902.1002.30. In three successive events: 1. Devadatta, his left hand grasping it by the trunk, kills the white elephant sent to the Bodhisattva with a single blow of his open right hand; 2. Sundarananda drags it away by the tail; 3. Holding it by the tail with his big toe, the Bodhisattva hurls the decomposing and noisome body over the city ramparts.",Zwalf 1996 / A Catalogue of the Gandhara Sculpture in the British Museum,Not on display,,"1.Grey schist, broken, exfoliated and with soil incrustation.
2.Top flat where undamaged; bottom and sides flat and rough. 
3.Back with vertical chisel grooves. 
4.Curved in section.",animal; prince/princess,Associated with: Buddha;  Representation of: Devadatta;  Representation of: Nanda,,Associated Event: Devadatta slaying the elephant.;  Associated Event: Sundarananda dragging away the elephant,,,,,,1886,Formerly in the collection of J. Fergusson. Purchased from Messrs Rollin and Feuardent.,,Asia,,"1886,0618.3",,,,,188606183
110,110,110,https://media.britishmuseum.org/media/Repository/Documents/2014_9/29_16/f7394dec_b2ae_42e6_aa56_a3b501146e9d/00146073_001.jpg,panel,"No: 1892,0801.12",,,,"Panel showing Maitreya and Buddhas framed each in his own scene. From the right, the first scene shows the haloed Buddha, abhaya hand tilted back and left hand securing his robe; he is flanked by monks turned towards him with hands joined and right shoulders bare.
In the middle scene Maitreya is seated in abhaya, hand tilted back, left hand holding a water pot. He has a full, round face, is haloed, with a chignon and long hair at the sides, has a collar, necklace and bracelets and wears the uttarīya in the wide mode across his chest with the ends falling from each arm. The throne has undercut lion protome legs; the drapery between them is shorter than usual. On his right a woman with hands joined wears a scarf or overgarment over her head, earrings, a collar, necklace and anklets; her consort opposite, hands also joined, is in uttarīya and paridhāna and has a beard and short thick hair.
In the third scene the haloed and now headless Buddha stands in abhaya, his left hand pendent, perhaps securing his robe. A much damaged woman worshipper stands to his right with a scarf and perhaps a draped overgarment over the paridhāna; to his left is a man, dressed like the male of the middle scene, whose damaged hands were probably once joined.
The drapery is everywhere ridged and terraced.
Framing the scenes are pilasters, each with a recessed oblong panel with curved top and bottom on the shaft, the usual base mouldings and Corinthian capital with distinct upper and lower parts supporting a volutcd double-bracket capital with sawtooth enrichment. At the bottom a narrow groundline projects over a plain fillet.",,,,,,,Kushan,2ndC-3rdC,Made in: Gandhara (Pakistan),Found/Acquired: Pakistan,schist,,,carved,Diameter: 7.50 centimetres; Height: 12.70 centimetres; Width: 62.20 centimetres,,,Zwalf 1996 / A Catalogue of the Gandhara Sculpture in the British Museum,Not on display,,"1.Top flat, mostly smooth with two rectangular tenons to each side and, closer to each side, a cramp mortise leading to back in alignment with deep vertical and rectangular mortise for a panel at right angles.
2.Sides carved; bottom flat with rectangular tenons to each side. 
3.Back as described and with vertical chisel grooves.",bodhisattva; monk/nun; buddha; devotee/worshipper,Associated with: Maitreya;  Associated with: Buddha,,,,From: Sir Augustus Wollaston Franks,,,,1892,Collected by Sir Edward Clive Bayley.,,Asia,,"1892,0801.12",,,,,1892080112
111,111,111,https://media.britishmuseum.org/media/Repository/Documents/2014_10/5_18/08bbdc42_091f_4c66_816e_a3bb013459e8/preview_00364166_001.jpg,panel,"No: 1902,1002.21",The Assault of Māra. (Object),,,"Part of a panel showing the Assault of Māra. The haloed Bodhisattva sits as in BM 1880.176 his monastic garments with a raised, almost circular neckline and regular drapery folds, his right hand on his knee while the damaged left holds high before his chest a loop and gathered drapery from the robe. His oval head has unevenly spaced eyes and a low uṣṇīṣa. The seat shows vestiges of grass and is recessed to accommodate a sprawling and apparently naked figure looking up over his shoulder and raising one leg. Beside the Bodhisattva a horse kneels, head between its forelegs, while its tumbling rider, a turbaned figure wearing a sleeved upper garment, trousers and a girdle, stretches out both arms, one of which is undercut, beside the Bodhisattva's seat and raises a leg. Above, a naked half-length figure with sharply cut features holds a rock on his head with both arms, one completely undercut; beside him is the barely carved bust of a watching figure with turban above a half-length monkey with hairy body and joined hands holding a damaged projecting object to its left shoulder. Another damaged half-length figure, in the corner of the slab, is turned in the same direction.
A plain fillet frames the bottom of the panel.",,,,,,,Kushan,2ndC-3rdC,Made in: Gandhara (Pakistan),Found/Acquired: Buner;  Found/Acquired: Swat Valley,schist,,,carved,Diameter: 6.20 centimetres; Height: 18.10 centimetres; Width: 25.10 centimetres,,"Zwalf 1996:
If the discomfiture of Māra is depicted on the Bodhisattva's right, Māra could be the figure falling from the horse, but in Gandhāra Māra is never a horseman. For fallen figures at the base of the seat see references BM 1895.1018.2 .",Zwalf 1996 / A Catalogue of the Gandhara Sculpture in the British Museum,Not on display,,"1.Grey schist, broken and chipped.
2.Top rebated in front with irregular projection behind; tops of heads flat in continuation; both sides irregularly broken; bottom flat and pitted with remains of rectangular tenon. 
3.Back uneven with horizontal and diagonal chisel grooves.",buddha; devil/demon; equestrian,Associated with: Buddha;  Associated with: Mara,Associated with: Bodhgayā,Associated Event: Assault of Mara,,Donated by: Capt B C Waterfield,,,,1902,,,Asia,,"1902,1002.21",,,,,1902100221
